Total Assets (fin. + non-fin) --- Financial Assets --- Ratio of Financial Assets over Non-Fin Assets at Historical cost ---  Ratio of Financial Assets over Non-Fin Assets (for illustrative comparison) --- Unidentified miscellaneous asset
DATE,totinv,fininv,hfininvratio,fininvratio,intinv
1951-10-01,334.58,110.25,0.32951760416044,0.220138972085779,0.322
1952-01-01,337.47,108.42,0.321273002044626,0.212730055331005,0.35
1952-04-01,338.96,108.39,0.319772244512627,0.211794360747992,0.236
1952-07-01,347.74,113.68,0.326910910450336,0.219654519457433,0.35
1952-10-01,354.16,115.67,0.326632030720578,0.220559072534513,0.352
1953-01-01,357.56,114.05,0.318967446023045,0.21644241170554,0.465
1953-04-01,362.10,114.68,0.316680475006904,0.214816896131872,0.536
1953-07-01,370.96,118.67,0.319899719646323,0.217999118230583,0.728
1953-10-01,373.65,118.72,0.317703733440385,0.217571381446322,0.638
1954-01-01,372.75,114.45,0.307042253521127,0.21025848290559,0.754
1954-04-01,373.80,113.92,0.304761904761905,0.208450755773524,0.712
1954-07-01,382.35,119.46,0.312462403556951,0.216071041018592,0.776
1954-10-01,390.17,124.23,0.318399671937873,0.221750151736942,0.664
1955-01-01,395.45,124.95,0.315994436717663,0.221507206296868,0.805
1955-04-01,402.51,128,0.318004521626792,0.222635799140765,0.905
1955-07-01,416.26,135.35,0.325157353577091,0.227662652223643,0.951
1955-10-01,430.13,141.62,0.329249296724246,0.230044507975699,0.836
1956-01-01,434.10,137.59,0.316931582584658,0.218684934119554,1.231
1956-04-01,440.64,137.51,0.312068809005083,0.215785344421779,1.135
1956-07-01,452.00,142.11,0.314402654867257,0.216357352739674,1.06
1956-10-01,463.17,146.66,0.316643996804629,0.218070712777662,0.896
1957-01-01,468.60,144.8,0.309005548442168,0.212544218885317,1.032
1957-04-01,474.74,145.5,0.306483548889919,0.210982700868582,0.843
1957-07-01,484.78,149.36,0.308098518915797,0.212896972461372,0.904
1957-10-01,490.70,151.24,0.308212757285511,0.213245350591487,0.849
1958-01-01,492.12,147.81,0.300353572299439,0.208927587035493,0.807
1958-04-01,494.99,149.08,0.301177801571749,0.209614600469622,1.021
1958-07-01,505.92,156.32,0.308981657179001,0.216575687882734,1.016
1958-10-01,517.71,162.79,0.314442448475015,0.222063076335461,0.805
1959-01-01,525.10,163.46,0.311293087031042,0.220754666018421,1.268
1959-04-01,537.08,169.28,0.315185819617189,0.224743417820678,1.485
1959-07-01,546.40,173.54,0.317606149341142,0.227497968065861,1.513
1959-10-01,556.86,177.89,0.319451926875696,0.230141275098323,1.041
1960-01-01,564.50,176.65,0.312914083259522,0.227527402465256,2.208
1960-04-01,569.82,176.67,0.310062826857604,0.226335814299074,1.527
1960-07-01,577.65,178.93,0.309755041980438,0.22728947268131,1.884
1960-10-01,582.73,180.74,0.310160794879275,0.228666135296871,1.676
1961-01-01,587.24,179.04,0.304883863497037,0.226572683210792,1.882
1961-04-01,597.24,185.01,0.309758221150626,0.231190253045923,2.175
1961-07-01,606.62,188.74,0.311133823480927,0.233131183380062,1.823
1961-10-01,617.76,193.4,0.313066563066563,0.235870917384199,1.781
1962-01-01,625.10,193.19,0.309054551271796,0.233966285603565,2.549
1962-04-01,634.26,196.39,0.309636426701983,0.235414693789483,2.459
1962-07-01,645.59,200.82,0.311064297774129,0.237653992260447,2.617
1962-10-01,655.60,205.38,0.31327028676022,0.240277972764285,2.198
1963-01-01,662.62,205.75,0.310509794452326,0.239266443390083,2.986
1963-04-01,674.09,210.72,0.312599207820914,0.242128969986671,3.486
1963-07-01,685.83,215.28,0.313897029876208,0.244186837866655,3.841
1963-10-01,698.41,220.74,0.316075084835555,0.247031702868142,3.204
1964-01-01,704.94,220.33,0.312565608420575,0.244917467904185,3.899
1964-04-01,716.50,225.22,0.314333565945569,0.246042583873188,4.246
1964-07-01,730.20,231.27,0.316721446179129,0.248795128878179,4.378
1964-10-01,743.68,235.29,0.316386080034423,0.248947201354354,3.966
1965-01-01,756.65,237.58,0.31398929491839,0.247768229601201,4.894
1965-04-01,772.79,243.21,0.314716805341684,0.249221215723245,5.267
1965-07-01,791.17,249.12,0.314875437642984,0.250777640201733,4.991
1965-10-01,817.23,262.71,0.321463969751478,0.256552734375,4.427
1966-01-01,832.03,264.79,0.318257755129022,0.255246137088768,6.512
1966-04-01,851.32,270.25,0.317448198092374,0.253529582829107,6.18
1966-07-01,869.94,274.24,0.315240131503322,0.252771966045144,5.752
1966-10-01,887.27,277.09,0.312295017300258,0.249657620643673,3.992
1967-01-01,899.02,275.58,0.306522658005384,0.245558070322385,4.364
1967-04-01,911.01,276.77,0.303816643066487,0.24326723622684,3.827
1967-07-01,929.26,283.52,0.305102985170996,0.24424324394173,4.034
1967-10-01,953.03,294.87,0.309402642099409,0.247102596978153,4.161
1968-01-01,971.19,300.11,0.309012654578404,0.246561724642206,5.089
1968-04-01,991.08,306.99,0.309752996730839,0.246945260024937,4.746
1968-07-01,1011.64,313.71,0.31011031592266,0.247335141442493,3.761
1968-10-01,1039.31,327.95,0.315545891023852,0.250691800822517,4.329
1969-01-01,1063.71,335.84,0.315725150651963,0.250799056068345,5.452
1969-04-01,1088.73,343.74,0.315725662009865,0.250546663168022,5.491
1969-07-01,1114.17,351.64,0.315607133561306,0.250062225762177,5.113
1969-10-01,1141.66,362.16,0.317222290349141,0.250466824349558,4.738
1970-01-01,1159.78,366.29,0.31582713962993,0.248665969666934,5.292
1970-04-01,1177.63,371.41,0.315387685436003,0.245249006220203,6.021
1970-07-01,1193.32,375.08,0.31431636107666,0.244601970745323,5.264
1970-10-01,1213.83,383.6,0.316016246097065,0.244870730928822,5.21
1971-01-01,1232.62,389.57,0.31604225146436,0.243242399455521,9.947
1971-04-01,1251.94,397.66,0.317635030432768,0.242821900074498,9.608
1971-07-01,1276.30,408.93,0.32040272663167,0.244153347384007,11.014
1971-10-01,1305.25,425.2,0.325753687033135,0.248107972481722,12.287
1972-01-01,1335.03,436.34,0.326839097248751,0.2481756806716,19.873
1972-04-01,1363.00,445.49,0.326845194424065,0.248374831350423,20.717
1972-07-01,1394.82,456.96,0.327612165010539,0.249356092024272,20.73
1972-10-01,1451.36,493.64,0.340115477896593,0.260210643950576,21.609
1973-01-01,1492.67,510.58,0.342058191026818,0.261674866748668,42.13
1973-04-01,1535.74,528.19,0.343925404039746,0.261743237015416,42.348
1973-07-01,1579.24,545.03,0.345121704110838,0.261223609480218,42.703
1973-10-01,1633.82,571.7,0.349916147433622,0.263673721641354,44.459
1974-01-01,1677.99,584.68,0.348434734414389,0.260885279550221,45.98
1974-04-01,1723.77,599.05,0.347523161442652,0.255911314266185,43.418
1974-07-01,1776.38,617.22,0.347465069410824,0.250890200478025,44.716
1974-10-01,1807.86,616.1,0.340789662916376,0.240735530860724,96.513
1975-01-01,1956.12,740.79,0.378708872666299,0.269171375106735,198.96
1975-04-01,1982.78,759.66,0.383128738437951,0.269370560931588,199.514
1975-07-01,1999.06,763.27,0.381814452792813,0.267033547560988,183.069
1975-10-01,2030.69,774.24,0.381269420738764,0.266420745471563,190.061
1976-01-01,2089.18,809.48,0.387463023770092,0.271316192563842,194.259
1976-04-01,2144.83,840.42,0.391835250346181,0.273208695397759,205.336
1976-07-01,2195.42,861.56,0.392430605533338,0.272963742126808,211.257
1976-10-01,2229.84,864.09,0.387512108492089,0.268487676953479,151.573
1977-01-01,2277.42,881.8,0.387192524874639,0.266652958039505,148.792
1977-04-01,2332.58,902.33,0.386837750473724,0.266553034107492,151.124
1977-07-01,2395.95,930.58,0.388392913040756,0.267345050878816,157.48
1977-10-01,2470.27,965.32,0.390775097458982,0.269377811512831,168.288
1978-01-01,2540.53,993.6,0.391099494987266,0.2694250641966,178.005
1978-04-01,2606.65,1018.43,0.390704544146702,0.26756589179873,171.167
1978-07-01,2688.64,1055.94,0.392741311592478,0.26847047038394,181.409
1978-10-01,2788.01,1100.18,0.394611210146305,0.269729970922963,182.628
1979-01-01,2888.93,1144.45,0.396153593198866,0.270292930509599,188.724
1979-04-01,2974.44,1177.12,0.395748443404473,0.268417152173665,192.105
1979-07-01,3092.42,1240.65,0.401190653274782,0.27145564025591,217.904
1979-10-01,3185.32,1279.09,0.401557771275727,0.271070600551852,215.793
1980-01-01,3279.38,1303.82,0.397581250114351,0.267727044985996,202.417
1980-04-01,3344.25,1318.59,0.394285714285714,0.263654722866512,214.673
1980-07-01,3464.94,1401.33,0.404434131615555,0.269440273181912,263.804
1980-10-01,3553.59,1446.28,0.406994053900422,0.269251176116869,251.007
1981-01-01,3759.77,1567.3,0.416863265572096,0.278600403155563,328.658
1981-04-01,3840.58,1593.38,0.414877440386608,0.276133913778881,325.977
1981-07-01,3921.54,1615.24,0.411891756809825,0.273825184783346,326.809
1981-10-01,4005.93,1640.04,0.409403059963604,0.271364017677942,353.511
1982-01-01,4086.46,1657.74,0.405666518208914,0.268432097725904,371.804
1982-04-01,4130.25,1663.74,0.402820652502875,0.266683550715462,371.436
1982-07-01,4220.48,1716.45,0.406695446963378,0.270870023544858,400.947
1982-10-01,4285.70,1750.81,0.408526028420095,0.274020477858433,459.565
1983-01-01,4370.75,1795.62,0.410826517188126,0.277066790930777,490.497
1983-04-01,4473.92,1860.88,0.415939489306917,0.283786462844803,511.895
1983-07-01,4553.69,1893.53,0.415825407526643,0.28578004566975,510.614
1983-10-01,4647.05,1928.54,0.415000914558699,0.286926196703653,537.249
1984-01-01,4793.08,2004.82,0.418275931134052,0.29230363232629,546.026
1984-04-01,4940.71,2086.4,0.422287484997096,0.297152525668287,589.827
1984-07-01,5099.90,2177.02,0.426875036765427,0.302547518424377,661.024
1984-10-01,5188.33,2202.79,0.424564358859209,0.30182097200718,699.961
1985-01-01,5334.26,2266.93,0.424975535500707,0.306164095873631,745.217
1985-04-01,5443.22,2313.71,0.425062738599579,0.308407178732525,754.437
1985-07-01,5541.53,2361.26,0.426102538468618,0.310378051681917,783.633
1985-10-01,5711.89,2473.32,0.433012540507608,0.31697202087413,854.482
1986-01-01,5767.40,2477,0.42948295592468,0.315874981349731,878.215
1986-04-01,5848.66,2515.72,0.430136133746875,0.317251659262043,872.221
1986-07-01,5957.68,2588.5,0.43448120744988,0.321353994671619,914.53
1986-10-01,6048.59,2642.33,0.436850571786152,0.324071507590568,952.929
1987-01-01,6205.92,2741.36,0.441733054889525,0.330066413982094,1018.877
1987-04-01,6301.36,2790.77,0.442883758426752,0.331717991508461,1042.679
1987-07-01,6419.61,2855.97,0.44488216573904,0.334703334411521,1070.984
1987-10-01,6495.27,2873.2,0.442351126281125,0.331174826383886,1039.802
1988-01-01,6638.01,2942.41,0.443266882695266,0.33268772415415,1072.534
1988-04-01,6750.56,3004.57,0.445084555947951,0.334045992653272,1084.087
1988-07-01,6842.74,3048.57,0.445518900323555,0.33434818133462,1100.266
1988-10-01,7101.77,3252.47,0.4579816017697,0.344809417491991,1265.8
1989-01-01,7330.43,3393.29,0.462905995964766,0.344887166920592,1368.837
1989-04-01,7421.54,3434.64,0.462793436402687,0.346833137093729,1362.963
1989-07-01,7496.05,3464.1,0.462123384982758,0.348174898560805,1382.588
1989-10-01,7545.28,3480.89,0.461333442894101,0.348929268466272,1392.563
1990-01-01,7709.87,3486.12,0.452163266047287,0.348451712212382,1416.419
1990-04-01,7764.63,3497.86,0.450487660068799,0.348475731250498,1377.258
1990-07-01,7870.12,3538.76,0.449644986353448,0.348631490592545,1373.879
1990-10-01,7958.64,3588.92,0.450947649347125,0.350546880952055,1413.627
1991-01-01,8067.86,3621.09,0.44882905751959,0.35207178546809,1479.477
1991-04-01,8122.22,3651.05,0.449512571686066,0.354379010489514,1459.836
1991-07-01,8221.40,3709.46,0.451196876444401,0.36093756233404,1457.474
1991-10-01,8252.39,3714.58,0.450122934083338,0.36385773953656,1465.203
1992-01-01,8431.40,3831.01,0.454374125293545,0.372455115435507,1571.271
1992-04-01,8483.12,3836.89,0.452297032223993,0.373824154389807,1493.829
1992-07-01,8550.94,3847.05,0.449897905961216,0.375929431147584,1479.217
1992-10-01,8621.16,3877.51,0.449765460796459,0.379405965782612,1534.213
1993-01-01,8781.62,3966.38,0.451668370983942,0.384151538395977,1600.954
1993-04-01,8918.71,4045.69,0.453618292331514,0.387791584872094,1618.284
1993-07-01,9053.44,4120.15,0.455092208044677,0.390936115583835,1639.144
1993-10-01,9210.51,4225.85,0.458807384173081,0.394931870432328,1762.548
1994-01-01,9310.79,4253.03,0.456786158854404,0.393148029517716,1733.806
1994-04-01,9433.19,4313.55,0.457273732427737,0.39267299765501,1725.773
1994-07-01,9562.59,4370.3,0.457020535231564,0.392435934966066,1744.695
1994-10-01,9762.47,4495.8,0.460517676366739,0.395352109331924,1834.839
1995-01-01,9917.34,4551.39,0.458932536345431,0.394662497528693,1891.926
1995-04-01,10116.25,4671.14,0.461746200420116,0.397802147266693,1919.007
1995-07-01,10318.64,4798.96,0.465076793065753,0.40099501739275,1995.775
1995-10-01,10554.19,4975.38,0.471412775400102,0.406932454371838,2090.37
1996-01-01,10789.80,5108.79,0.473483289773675,0.410823707649403,2202.421
1996-04-01,10955.19,5228.55,0.477266939231542,0.416764975019051,2229.728
1996-07-01,11155.77,5338.6,0.47855056172725,0.420855964872173,2269.24
1996-10-01,11386.03,5472.48,0.480631089150476,0.42227652828395,2342.225
1997-01-01,11551.66,5534.67,0.479123346774403,0.412075484060224,2322.51
1997-04-01,11715.58,5631.59,0.480692377159304,0.413842541730814,2338.511
1997-07-01,11946.31,5759.9,0.48214888111894,0.413657072928307,2404.411
1997-10-01,12094.79,5818.45,0.481069948300053,0.407176342730059,2478.592
1998-01-01,12414.94,6009.59,0.484061139240302,0.405650194975129,2534.103
1998-04-01,12668.07,6176.56,0.487569140366291,0.411984074417215,2640.087
1998-07-01,12833.22,6231.29,0.485559352991689,0.408979809899857,2622.993
1998-10-01,13483.34,6824.78,0.506163903009195,0.426453505628439,3229.011
1999-01-01,13887.57,7103.84,0.511525054419168,0.432118095474459,3389.715
1999-04-01,14334.64,7445.18,0.519383116701919,0.445337557108899,3573.035
1999-07-01,14634.04,7650.4,0.52278181554786,0.448256607337782,3614.749
1999-10-01,15176.77,8093.5,0.533281455803837,0.455339998638509,3950.008
2000-01-01,15606.12,8376.21,0.536725976732205,0.46217932836698,4110.08
2000-04-01,16033.62,8697.38,0.542446434429655,0.469867046995457,4244.896
2000-07-01,16521.21,9037.01,0.546994439269279,0.464841937630973,4431.072
2000-10-01,17335.57,9760.81,0.563050421762884,0.477687109586815,5138.108
2001-01-01,17452.63,9740.89,0.558133072207455,0.477449437381659,5176.36
2001-04-01,17622.36,9848.69,0.55887463427146,0.479718832759461,5228.625
2001-07-01,17636.45,9794.92,0.555379342214561,0.475487785519519,5165.405
2001-10-01,17737.73,9886.96,0.557397705343356,0.481851189402837,5221.741
2002-01-01,17832.84,9920.23,0.556289968395387,0.480470443276984,5176.799
2002-04-01,17858.22,9907.67,0.55479605470198,0.480511663999224,5107.674
2002-07-01,17855.45,9833.15,0.55070860717596,0.47534531258082,5056.046
2002-10-01,18010.31,9941.62,0.551996051150702,0.473838510311458,5208.947
2003-01-01,18082.62,9949.77,0.550239401148727,0.468571794556629,5094.16
2003-04-01,18203.41,10004.33,0.549585489751645,0.468073648519352,5042.217
2003-07-01,18270.77,10018.12,0.548313508407144,0.468541496153217,4980.066
2003-10-01,18414.62,10116.71,0.549384673699484,0.470731192081699,5123.346
